sweepFormulaX_0[][0],sweepFormulaY_0[][0],sweepFormulaX_1[][0],sweepFormulaY_1[][0],sweepFormulaX_2[][0],sweepFormulaY_2[][0],sweepFormulaX_3[][0],sweepFormulaY_3[][0],sweepFormulaX_4[][0],sweepFormulaY_4[][0],sweepFormulaX_5[][0],sweepFormulaY_5[][0],sweepFormulaX_6[][0],sweepFormulaY_6[][0],sweepFormulaX_7[][0],sweepFormulaY_7[][0]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,41,7,42,7,43,9,44,6,45,4,46,0,47,0
