sweepFormulaX_0[][0],sweepFormulaY_0[][0],sweepFormulaX_1[][0],sweepFormulaY_1[][0],sweepFormulaX_2[][0],sweepFormulaY_2[][0],sweepFormulaX_3[][0],sweepFormulaY_3[][0],sweepFormulaX_4[][0],sweepFormulaY_4[][0],sweepFormulaX_5[][0],sweepFormulaY_5[][0],sweepFormulaX_6[][0],sweepFormulaY_6[][0],sweepFormulaX_7[][0],sweepFormulaY_7[][0],sweepFormulaX_8[][0],sweepFormulaY_8[][0],sweepFormulaX_9[][0],sweepFormulaY_9[][0]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5,52,9,53,13,54,15,55,17,56,8,57,5,58,3,59,0,60,0
